X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,geotracker_meta
4.36523328,50.85174483,0,0,52,122.92,2022-07-20 06:54:01+00,,,,,,,,,,,,,,,,,,,,,,
4.3651724,50.85159474,0,0,53,124.28,2022-07-20 06:54:03+00,,,,,,,,,,,,,,,,,,,,,,
4.36512864,50.85145816,0,0,54,125.71,2022-07-20 06:54:05+00,,,,,,,,,,,,,,,,,,,,,,
4.3651088,50.85130009,0,0,55,124.92,2022-07-20 06:54:07+00,,,,,,,,,,,,,,,,,,,,,,
4.36502718,50.85116094,0,0,56,123.04,2022-07-20 06:54:09+00,,,,,,,,,,,,,,,,,,,,,,
4.36492651,50.85103614,0,0,57,121.9,2022-07-20 06:54:11+00,,,,,,,,,,,,,,,,,,,,,,
4.3648527,50.85095211,0,0,58,120,2022-07-20 06:54:13+00,,,,,,,,,,,,,,,,,,,,,,
4.36479333,50.85081419,0,0,59,117.53,2022-07-20 06:54:16+00,,,,,,,,,,,,,,,,,,,,,,
4.36469565,50.85071378,0,0,60,116.84,2022-07-20 06:54:18+00,,,,,,,,,,,,,,,,,,,,,,
4.36460429,50.85061924,0,0,61,116.75,2022-07-20 06:54:21+00,,,,,,,,,,,,,,,,,,,,,,
4.36452559,50.8504878,0,0,62,117.06,2022-07-20 06:54:42+00,,,,,,,,,,,,,,,,,,,,,,
4.36448147,50.85040136,0,0,63,116.91,2022-07-20 06:54:44+00,,,,,,,,,,,,,,,,,,,,,,
4.36442075,50.85028857,0,0,64,113.3,2022-07-20 06:54:47+00,,,,,,,,,,,,,,,,,,,,,,
4.36435473,50.85016569,0,0,65,110.58,2022-07-20 06:54:49+00,,,,,,,,,,,,,,,,,,,,,,
4.36428243,50.85003167,0,0,66,107.97,2022-07-20 06:54:51+00,,,,,,,,,,,,,,,,,,,,,,
4.36421538,50.84988145,0,0,67,105.51,2022-07-20 06:54:53+00,,,,,,,,,,,,,,,,,,,,,,
4.36414282,50.84971414,0,0,68,103.07,2022-07-20 06:54:55+00,,,,,,,,,,,,,,,,,,,,,,
4.36410758,50.84962652,0,0,69,101.72,2022-07-20 06:54:56+00,,,,,,,,,,,,,,,,,,,,,,
4.36405074,50.8494991,0,0,70,98.66,2022-07-20 06:54:58+00,,,,,,,,,,,,,,,,,,,,,,
4.36398818,50.84936099,0,0,71,97.05,2022-07-20 06:55:00+00,,,,,,,,,,,,,,,,,,,,,,
4.36390763,50.84920198,0,0,72,96.4,2022-07-20 06:55:02+00,,,,,,,,,,,,,,,,,,,,,,
4.36381904,50.84906287,0,0,73,95.81,2022-07-20 06:55:04+00,,,,,,,,,,,,,,,,,,,,,,
4.36374563,50.84893126,0,0,74,95.39,2022-07-20 06:55:06+00,,,,,,,,,,,,,,,,,,,,,,
4.36366411,50.84878969,0,0,75,94.55,2022-07-20 06:55:08+00,,,,,,,,,,,,,,,,,,,,,,
4.36359379,50.84864849,0,0,76,93.6,2022-07-20 06:55:10+00,,,,,,,,,,,,,,,,,,,,,,
4.36347253,50.84846119,0,0,77,95.08,2022-07-20 06:55:12+00,,,,,,,,,,,,,,,,,,,,,,
4.36340575,50.8483646,0,0,78,95.89,2022-07-20 06:55:13+00,,,,,,,,,,,,,,,,,,,,,,
4.36323724,50.84809284,0,0,79,98.28,2022-07-20 06:55:17+00,,,,,,,,,,,,,,,,,,,,,,
4.36315163,50.84796032,0,0,80,99.42,2022-07-20 06:55:19+00,,,,,,,,,,,,,,,,,,,,,,
4.36307728,50.84783855,0,0,81,100.84,2022-07-20 06:55:21+00,,,,,,,,,,,,,,,,,,,,,,
