X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,geotracker_meta
4.32675628,50.84064171,0,0,0,96.93,2022-07-30 17:10:19+00,,,,,,,,,,,,,,,,,,,,,,
4.32690009,50.8406166,0,0,1,91.83,2022-07-30 17:10:31+00,,,,,,,,,,,,,,,,,,,,,,
4.32703404,50.84065031,0,0,2,90.8,2022-07-30 17:10:40+00,,,,,,,,,,,,,,,,,,,,,,
4.3271618,50.84071877,0,0,3,90.82,2022-07-30 17:10:49+00,,,,,,,,,,,,,,,,,,,,,,
4.32726061,50.84079703,0,0,4,91.2,2022-07-30 17:10:56+00,,,,,,,,,,,,,,,,,,,,,,
4.32737727,50.8408619,0,0,5,92.01,2022-07-30 17:11:03+00,,,,,,,,,,,,,,,,,,,,,,
4.32753188,50.84091511,0,0,6,92.9,2022-07-30 17:11:13+00,,,,,,,,,,,,,,,,,,,,,,
4.32767469,50.84090878,0,0,7,92.31,2022-07-30 17:11:29+00,,,,,,,,,,,,,,,,,,,,,,
4.32783574,50.84093442,0,0,8,91.83,2022-07-30 17:11:35+00,,,,,,,,,,,,,,,,,,,,,,
4.32795108,50.84099399,0,0,9,91.26,2022-07-30 17:11:43+00,,,,,,,,,,,,,,,,,,,,,,
4.32809531,50.84104122,0,0,10,90.81,2022-07-30 17:11:53+00,,,,,,,,,,,,,,,,,,,,,,
4.32816437,50.841126,0,0,11,90.2,2022-07-30 17:12:01+00,,,,,,,,,,,,,,,,,,,,,,
4.32828537,50.84118639,0,0,12,90.06,2022-07-30 17:12:06+00,,,,,,,,,,,,,,,,,,,,,,
4.3284153,50.84123111,0,0,13,90.22,2022-07-30 17:12:11+00,,,,,,,,,,,,,,,,,,,,,,
4.3285393,50.84127889,0,0,14,90.22,2022-07-30 17:12:18+00,,,,,,,,,,,,,,,,,,,,,,
4.32868184,50.84130895,0,0,15,91.82,2022-07-30 17:12:29+00,,,,,,,,,,,,,,,,,,,,,,
4.328832,50.84135223,0,0,16,93.37,2022-07-30 17:12:40+00,,,,,,,,,,,,,,,,,,,,,,
4.32894564,50.84141616,0,0,17,94.24,2022-07-30 17:12:48+00,,,,,,,,,,,,,,,,,,,,,,
4.32910843,50.84146367,0,0,18,94.86,2022-07-30 17:12:59+00,,,,,,,,,,,,,,,,,,,,,,
4.32922994,50.8415105,0,0,19,95.21,2022-07-30 17:13:07+00,,,,,,,,,,,,,,,,,,,,,,
4.32927188,50.84159966,0,0,20,95.27,2022-07-30 17:13:13+00,,,,,,,,,,,,,,,,,,,,,,
4.32935421,50.84169378,0,0,21,96.09,2022-07-30 17:13:23+00,,,,,,,,,,,,,,,,,,,,,,
4.32945995,50.84176116,0,0,22,96.95,2022-07-30 17:13:29+00,,,,,,,,,,,,,,,,,,,,,,
4.32960401,50.8417582,0,0,23,99.26,2022-07-30 17:13:37+00,,,,,,,,,,,,,,,,,,,,,,
4.32976923,50.8417637,0,0,24,102.68,2022-07-30 17:13:49+00,,,,,,,,,,,,,,,,,,,,,,
4.32985922,50.84183424,0,0,25,103.83,2022-07-30 17:13:55+00,,,,,,,,,,,,,,,,,,,,,,
4.32996636,50.84189613,0,0,26,103.67,2022-07-30 17:14:04+00,,,,,,,,,,,,,,,,,,,,,,
4.33009028,50.84195306,0,0,27,102.9,2022-07-30 17:14:13+00,,,,,,,,,,,,,,,,,,,,,,
4.33016111,50.84187325,0,0,28,102.58,2022-07-30 17:14:16+00,,,,,,,,,,,,,,,,,,,,,,
4.33031531,50.8418989,0,0,29,100.27,2022-07-30 17:14:26+00,,,,,,,,,,,,,,,,,,,,,,
4.33041279,50.84196519,0,0,30,98.8,2022-07-30 17:14:32+00,,,,,,,,,,,,,,,,,,,,,,
4.33048095,50.84207199,0,0,31,97.28,2022-07-30 17:14:38+00,,,,,,,,,,,,,,,,,,,,,,
4.33056642,50.84215918,0,0,32,96.03,2022-07-30 17:14:42+00,,,,,,,,,,,,,,,,,,,,,,
4.33071903,50.84221324,0,0,33,94.14,2022-07-30 17:14:50+00,,,,,,,,,,,,,,,,,,,,,,
4.33084127,50.84226956,0,0,34,91.58,2022-07-30 17:15:00+00,,,,,,,,,,,,,,,,,,,,,,
4.33098984,50.84230113,0,0,35,95.39,2022-07-30 17:15:40+00,,,,,,,,,,,,,,,,,,,,,,
4.33112892,50.84236021,0,0,36,95.64,2022-07-30 17:15:54+00,,,,,,,,,,,,,,,,,,,,,,
4.33125977,50.84241837,0,0,37,95.12,2022-07-30 17:16:00+00,,,,,,,,,,,,,,,,,,,,,,
4.33137762,50.84246995,0,0,38,94.6,2022-07-30 17:16:04+00,,,,,,,,,,,,,,,,,,,,,,
4.33152289,50.84246647,0,0,39,94,2022-07-30 17:16:10+00,,,,,,,,,,,,,,,,,,,,,,
4.33167556,50.84250536,0,0,40,92.62,2022-07-30 17:16:20+00,,,,,,,,,,,,,,,,,,,,,,
4.33180923,50.84254434,0,0,41,91.38,2022-07-30 17:16:27+00,,,,,,,,,,,,,,,,,,,,,,
4.33195244,50.84256616,0,0,42,88.9,2022-07-30 17:16:36+00,,,,,,,,,,,,,,,,,,,,,,
4.33204454,50.8426515,0,0,43,87.31,2022-07-30 17:16:41+00,,,,,,,,,,,,,,,,,,,,,,
4.33213234,50.84273347,0,0,44,84.82,2022-07-30 17:16:48+00,,,,,,,,,,,,,,,,,,,,,,
4.33229923,50.84274587,0,0,45,82.05,2022-07-30 17:16:58+00,,,,,,,,,,,,,,,,,,,,,,
4.33237735,50.84285589,0,0,46,80.18,2022-07-30 17:17:04+00,,,,,,,,,,,,,,,,,,,,,,
4.33250947,50.84289253,0,0,47,78.81,2022-07-30 17:17:10+00,,,,,,,,,,,,,,,,,,,,,,
