X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,geotracker_meta
4.36856078,50.85514968,0,0,0,129.59,2022.07.22 07:00:37+00,,,,,,,,,,,,,,,,,,,,,,
4.36848982,50.85523571,0,0,1,127.93,2022.07.22 07:00:44+00,,,,,,,,,,,,,,,,,,,,,,
4.3683361,50.85532352,0,0,2,128.18,2022.07.22 07:00:52+00,,,,,,,,,,,,,,,,,,,,,,
4.36822185,50.85540951,0,0,3,128.55,2022.07.22 07:00:58+00,,,,,,,,,,,,,,,,,,,,,,
4.36809072,50.85545383,0,0,4,128.47,2022.07.22 07:01:01+00,,,,,,,,,,,,,,,,,,,,,,
4.36794701,50.85551146,0,0,5,128.15,2022.07.22 07:01:05+00,,,,,,,,,,,,,,,,,,,,,,
4.36778583,50.85551069,0,0,6,126.62,2022.07.22 07:01:16+00,,,,,,,,,,,,,,,,,,,,,,
4.36766667,50.8555654,0,0,7,123.27,2022.07.22 07:01:23+00,,,,,,,,,,,,,,,,,,,,,,
4.36757761,50.85563693,0,0,8,122.99,2022.07.22 07:01:27+00,,,,,,,,,,,,,,,,,,,,,,
4.3674939,50.85571447,0,0,9,122.76,2022.07.22 07:01:32+00,,,,,,,,,,,,,,,,,,,,,,
4.36741531,50.85579707,0,0,10,122.4,2022.07.22 07:01:40+00,,,,,,,,,,,,,,,,,,,,,,
4.36729987,50.85585215,0,0,11,122.54,2022.07.22 07:01:56+00,,,,,,,,,,,,,,,,,,,,,,
4.3672496,50.85590627,0,0,12,126.11,2022.07.22 07:05:55+00,,,,,,,,,,,,,,,,,,,,,,
4.3671934,50.85568545,0,0,13,130.54,2022.07.22 07:06:16+00,,,,,,,,,,,,,,,,,,,,,,
4.36714489,50.85557659,0,0,14,110.96,2022.07.22 07:06:58+00,,,,,,,,,,,,,,,,,,,,,,
4.36689685,50.85506365,0,0,15,112.78,2022.07.22 07:07:09+00,,,,,,,,,,,,,,,,,,,,,,
4.36679546,50.85499976,0,0,16,109.85,2022.07.22 07:07:11+00,,,,,,,,,,,,,,,,,,,,,,
4.36649738,50.85488662,0,0,17,101.58,2022.07.22 07:07:14+00,,,,,,,,,,,,,,,,,,,,,,
4.36638705,50.85479122,0,0,18,96.81,2022.07.22 07:07:16+00,,,,,,,,,,,,,,,,,,,,,,
4.36626103,50.85452273,0,0,19,88.29,2022.07.22 07:07:20+00,,,,,,,,,,,,,,,,,,,,,,
4.36620497,50.85421035,0,0,20,81.85,2022.07.22 07:07:24+00,,,,,,,,,,,,,,,,,,,,,,
4.36619121,50.85409397,0,0,21,80.84,2022.07.22 07:07:25+00,,,,,,,,,,,,,,,,,,,,,,
4.3661347,50.85395089,0,0,22,79.64,2022.07.22 07:07:27+00,,,,,,,,,,,,,,,,,,,,,,
4.36611673,50.85386059,0,0,23,79.47,2022.07.22 07:07:28+00,,,,,,,,,,,,,,,,,,,,,,
