X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,geotracker_meta
4.37446622,50.8554507,0,0,50,106.14,2022-07-28 13:47:09+00,,,,,,,,,,,,,,,,,,,,,,
4.37436329,50.85537408,0,0,51,101.51,2022-07-28 13:47:18+00,,,,,,,,,,,,,,,,,,,,,,
4.37431976,50.85528018,0,0,52,98.51,2022-07-28 13:47:25+00,,,,,,,,,,,,,,,,,,,,,,
4.37427835,50.85518479,0,0,53,96.71,2022-07-28 13:47:30+00,,,,,,,,,,,,,,,,,,,,,,
4.37423175,50.85508889,0,0,54,95.14,2022-07-28 13:47:35+00,,,,,,,,,,,,,,,,,,,,,,
4.3741558,50.85500209,0,0,55,94.11,2022-07-28 13:47:39+00,,,,,,,,,,,,,,,,,,,,,,
4.37409712,50.85491021,0,0,56,93.15,2022-07-28 13:47:45+00,,,,,,,,,,,,,,,,,,,,,,
4.37401854,50.85482207,0,0,57,92.85,2022-07-28 13:47:51+00,,,,,,,,,,,,,,,,,,,,,,
4.37391234,50.85475402,0,0,58,92.64,2022-07-28 13:47:58+00,,,,,,,,,,,,,,,,,,,,,,
4.37375564,50.85476719,0,0,59,91.94,2022-07-28 13:48:03+00,,,,,,,,,,,,,,,,,,,,,,
4.37361289,50.85480273,0,0,60,91.18,2022-07-28 13:48:08+00,,,,,,,,,,,,,,,,,,,,,,
4.37349626,50.85486162,0,0,61,90.51,2022-07-28 13:48:13+00,,,,,,,,,,,,,,,,,,,,,,
4.37337462,50.85491417,0,0,62,89.7,2022-07-28 13:48:18+00,,,,,,,,,,,,,,,,,,,,,,
4.37325517,50.85497501,0,0,63,89.2,2022-07-28 13:48:24+00,,,,,,,,,,,,,,,,,,,,,,
4.37311488,50.85500009,0,0,64,88.56,2022-07-28 13:48:32+00,,,,,,,,,,,,,,,,,,,,,,
4.3729703,50.85503686,0,0,65,88.55,2022-07-28 13:48:39+00,,,,,,,,,,,,,,,,,,,,,,
4.3728063,50.85507821,0,0,66,89.24,2022-07-28 13:48:46+00,,,,,,,,,,,,,,,,,,,,,,
4.37267132,50.85511014,0,0,67,90.16,2022-07-28 13:48:51+00,,,,,,,,,,,,,,,,,,,,,,
4.37251743,50.85515153,0,0,68,91.7,2022-07-28 13:48:58+00,,,,,,,,,,,,,,,,,,,,,,
4.37237965,50.85517814,0,0,69,93.2,2022-07-28 13:49:04+00,,,,,,,,,,,,,,,,,,,,,,
4.37224756,50.8552128,0,0,70,95.25,2022-07-28 13:49:12+00,,,,,,,,,,,,,,,,,,,,,,
4.37211261,50.85524431,0,0,71,96.78,2022-07-28 13:49:19+00,,,,,,,,,,,,,,,,,,,,,,
4.37197176,50.85527191,0,0,72,98.16,2022-07-28 13:49:24+00,,,,,,,,,,,,,,,,,,,,,,
4.37183064,50.85532352,0,0,73,100.3,2022-07-28 13:49:32+00,,,,,,,,,,,,,,,,,,,,,,
4.37169731,50.85535648,0,0,74,101.93,2022-07-28 13:49:42+00,,,,,,,,,,,,,,,,,,,,,,
4.37156616,50.85540497,0,0,75,102.68,2022-07-28 13:49:48+00,,,,,,,,,,,,,,,,,,,,,,
4.37145296,50.8554741,0,0,76,103.3,2022-07-28 13:49:57+00,,,,,,,,,,,,,,,,,,,,,,
4.37132232,50.85550981,0,0,77,103.57,2022-07-28 13:50:03+00,,,,,,,,,,,,,,,,,,,,,,
4.37114343,50.85554934,0,0,78,103.9,2022-07-28 13:50:10+00,,,,,,,,,,,,,,,,,,,,,,
4.37099417,50.85558433,0,0,79,104.92,2022-07-28 13:50:16+00,,,,,,,,,,,,,,,,,,,,,,
4.37085533,50.85561546,0,0,80,107.07,2022-07-28 13:50:25+00,,,,,,,,,,,,,,,,,,,,,,
4.37069917,50.85561138,0,0,81,108.87,2022-07-28 13:50:30+00,,,,,,,,,,,,,,,,,,,,,,
4.37055019,50.8556416,0,0,82,110.08,2022-07-28 13:50:35+00,,,,,,,,,,,,,,,,,,,,,,
4.37039621,50.85563977,0,0,83,111.23,2022-07-28 13:50:43+00,,,,,,,,,,,,,,,,,,,,,,
4.37024742,50.85564192,0,0,84,111.85,2022-07-28 13:50:50+00,,,,,,,,,,,,,,,,,,,,,,
4.37008582,50.85564428,0,0,85,112.8,2022-07-28 13:50:55+00,,,,,,,,,,,,,,,,,,,,,,
4.36991589,50.85564506,0,0,86,114.44,2022-07-28 13:51:00+00,,,,,,,,,,,,,,,,,,,,,,
4.36976831,50.8556316,0,0,87,117.44,2022-07-28 13:51:09+00,,,,,,,,,,,,,,,,,,,,,,
4.36989537,50.85527231,0,0,88,135.82,2022-07-28 13:51:40+00,,,,,,,,,,,,,,,,,,,,,,
