"t","longitude","latitude","x","y","label"
"57","2021-11-14 15:12:19",12.308885,56.12823,705640.824462904,6225283.84035377,"01-sailing"
"58","2021-11-14 15:12:40",12.308885,56.128225,705640.851159788,6225283.2842073,"01-sailing"
"59","2021-11-14 15:12:48",12.308883,56.128225,705640.72691602,6225283.27824319,"01-sailing"
"60","2021-11-14 15:13:09",12.308878,56.128217,705640.45902152,6225282.37349858,"01-sailing"
"61","2021-11-14 15:13:19",12.308877,56.128215,705640.407578349,6225282.14805795,"01-sailing"
"62","2021-11-14 15:13:29",12.308877,56.128213,705640.418257075,6225281.92559936,"01-sailing"
"63","2021-11-14 15:13:40",12.308878,56.128213,705640.480378979,6225281.92858141,"01-sailing"
"64","2021-11-14 15:13:49",12.308878,56.128212,705640.485718343,6225281.81735212,"01-sailing"
"65","2021-11-14 15:14:09",12.308877,56.128212,705640.423596438,6225281.81437007,"01-sailing"
"66","2021-11-14 15:14:19",12.308875,56.128215,705640.283334549,6225282.14209385,"01-sailing"
"67","2021-11-14 15:14:29",12.308873,56.128218,705640.143072678,6225282.46981763,"01-sailing"
"68","2021-11-14 15:14:40",12.308872,56.12822,705640.070272072,6225282.68929417,"01-sailing"
"69","2021-11-14 15:14:59",12.308888,56.128232,705641.000149768,6225284.07175852,"01-sailing"
"70","2021-11-14 15:15:09",12.30889,56.128232,705641.124393513,6225284.07772265,"01-sailing"
"71","2021-11-14 15:15:40",12.308888,56.12823,705641.010828531,6225283.84929994,"01-sailing"
"72","2021-11-14 15:16:09",12.308887,56.128223,705640.986082315,6225283.06771284,"01-sailing"
"73","2021-11-14 15:16:40",12.308882,56.128218,705640.702169737,6225282.49665609,"01-sailing"
"74","2021-11-14 15:17:09",12.308873,56.128208,705640.196466243,6225281.3575247,"01-sailing"
"75","2021-11-14 15:17:19",12.308868,56.12821,705639.875177988,6225281.56507306,"01-sailing"
"76","2021-11-14 15:17:40",12.30887,56.128213,705639.98340375,6225281.90472503,"01-sailing"
"77","2021-11-14 15:17:49",12.30887,56.128217,705639.962046343,6225282.3496422,"01-sailing"
"78","2021-11-14 15:18:09",12.308878,56.128225,705640.4163066,6225283.26333292,"01-sailing"
"79","2021-11-14 15:18:19",12.308882,56.128227,705640.654115392,6225283.49771972,"01-sailing"
"80","2021-11-14 15:18:29",12.308883,56.128227,705640.716237273,6225283.50070177,"01-sailing"
"81","2021-11-14 15:18:40",12.308888,56.128228,705641.021507295,6225283.62684136,"01-sailing"
"82","2021-11-14 15:18:49",12.308892,56.128228,705641.269994811,6225283.6387696,"01-sailing"
"83","2021-11-14 15:19:19",12.308882,56.12822,705640.691490994,6225282.71911467,"01-sailing"
