"id","t","x","y","label"
"1","219006092-2",2021-11-15 04:37:22,475756.499329025,6331074.95848469,"01-sailing"
"2","219006092-2",2021-11-15 04:37:25,475756.659412834,6331071.28397725,"01-sailing"
"3","219006092-2",2021-11-15 04:37:29,475757.781077302,6331066.37930381,"01-sailing"
"4","219006092-2",2021-11-15 04:37:32,475757.840971939,6331066.26763206,"01-sailing"
"5","219006092-2",2021-11-15 04:37:35,475757.067568384,6331068.60989605,"01-sailing"
"6","219006092-2",2021-11-15 04:37:39,475753.642474619,6331073.08280873,"01-sailing"
"7","219006092-2",2021-11-15 04:37:42,475749.564433215,6331079.78596243,"01-sailing"
"8","219006092-2",2021-11-15 04:37:44,475744.648543061,6331088.16384375,"01-sailing"
"9","219006092-2",2021-11-15 04:37:48,475736.784808367,6331099.78733268,"01-sailing"
"10","219006092-2",2021-11-15 04:37:52,475730.475072105,6331107.9507786,"01-sailing"
"11","219006092-2",2021-11-15 04:37:56,475723.172041474,6331122.24268617,"01-sailing"
"12","219006092-2",2021-11-15 04:37:59,475721.268556966,6331128.04252717,"01-sailing"
"13","219006092-2",2021-11-15 04:38:02,475718.432317053,6331139.97046638,"01-sailing"
"14","219006092-2",2021-11-15 04:38:06,475711.957402729,6331150.91791941,"01-sailing"
"15","219006092-2",2021-11-15 04:38:09,475706.738942348,6331159.29762718,"01-sailing"
"16","219006092-2",2021-11-15 04:38:12,475701.3408285,6331168.01235945,"01-sailing"
"17","219006092-2",2021-11-15 04:38:15,475695.518258472,6331176.61827631,"01-sailing"
"18","219006092-2",2021-11-15 04:38:19,475688.417691145,6331184.11852079,"01-sailing"
"19","219006092-2",2021-11-15 04:38:22,475677.380342754,6331191.41931699,"01-sailing"
"20","219006092-2",2021-11-15 04:38:25,475670.612949137,6331193.79689802,"01-sailing"
"21","219006092-2",2021-11-15 04:38:29,475655.671193706,6331196.11133944,"01-sailing"
"22","219006092-2",2021-11-15 04:38:32,475643.975964762,6331194.51048041,"01-sailing"
"23","219006092-2",2021-11-15 04:38:35,475628.320273001,6331188.70284975,"01-sailing"
"24","219006092-2",2021-11-15 04:38:42,475601.349022113,6331173.83383824,"01-sailing"
