"id","t","x","y","label"
"1","219025740-5",2021-11-17 03:47:10,670906.040027626,6178316.85498585,"01-sailing"
"2","219025740-5",2021-11-17 03:47:12,670903.04514271,6178317.85155177,"01-sailing"
"3","219025740-5",2021-11-17 03:47:17,670895.580595371,6178320.56670106,"01-sailing"
"4","219025740-5",2021-11-17 03:47:20,670891.232149439,6178322.40146469,"01-sailing"
"5","219025740-5",2021-11-17 03:47:22,670888.21979862,6178323.84302607,"01-sailing"
"6","219025740-5",2021-11-17 03:47:25,670883.548666292,6178325.88796163,"01-sailing"
"7","219025740-5",2021-11-17 03:47:30,670875.542503558,6178329.58463718,"01-sailing"
"8","219025740-5",2021-11-17 03:47:33,670869.02859918,6178332.11432109,"01-sailing"
"9","219025740-5",2021-11-17 03:47:42,670853.30244176,6178338.62762898,"01-sailing"
"10","219025740-5",2021-11-17 03:47:53,670836.378937344,6178345.20540546,"01-sailing"
"11","219025740-5",2021-11-17 03:47:56,670830.323442554,6178346.47183519,"01-sailing"
"12","219025740-5",2021-11-17 03:47:58,670825.917984142,6178347.35737164,"01-sailing"
"13","219025740-5",2021-11-17 03:48:12,670800.288459173,6178353.0364597,"01-sailing"
"14","219025740-5",2021-11-17 03:48:15,670794.495900071,6178354.81463753,"01-sailing"
"15","219025740-5",2021-11-17 03:48:19,670786.542262846,6178357.17651772,"01-sailing"
"16","219025740-5",2021-11-17 03:48:22,670780.489821171,6178359.16734996,"01-sailing"
"17","219025740-5",2021-11-17 03:48:25,670772.845788953,6178361.65282195,"01-sailing"
"18","219025740-5",2021-11-17 03:48:29,670765.264556782,6178364.14077111,"01-sailing"
"19","219025740-5",2021-11-17 03:48:33,670757.585622265,6178367.51624093,"01-sailing"
"20","219025740-5",2021-11-17 03:48:36,670753.542510187,6178369.58595212,"01-sailing"
"21","219025740-5",2021-11-17 03:48:39,670747.279906733,6178372.1256709,"01-sailing"
"22","219025740-5",2021-11-17 03:48:42,670739.287048663,6178375.48885428,"01-sailing"
"23","219025740-5",2021-11-17 03:48:46,670733.697700262,6178378.50067697,"01-sailing"
"24","219025740-5",2021-11-17 03:48:48,670728.844387595,6178381.98705305,"01-sailing"
"25","219025740-5",2021-11-17 03:48:53,670722.150031099,6178387.5181444,"01-sailing"
"26","219025740-5",2021-11-17 03:48:55,670717.140608251,6178391.77833174,"01-sailing"
"27","219025740-5",2021-11-17 03:49:00,670710.755868549,6178397.4330027,"01-sailing"
"28","219025740-5",2021-11-17 03:49:06,670699.262359225,6178406.67548528,"01-sailing"
"29","219025740-5",2021-11-17 03:49:10,670694.709964805,6178410.50795267,"01-sailing"
"30","219025740-5",2021-11-17 03:49:13,670688.652321053,6178415.84123026,"01-sailing"
"31","219025740-5",2021-11-17 03:49:19,670680.289670558,6178425.42939629,"01-sailing"
"32","219025740-5",2021-11-17 03:49:22,670677.978584841,6178428.23561084,"01-sailing"
"33","219025740-5",2021-11-17 03:49:26,670673.134855299,6178436.29054081,"01-sailing"
"34","219025740-5",2021-11-17 03:49:28,670672.300188701,6178439.93458614,"01-sailing"
"35","219025740-5",2021-11-17 03:49:33,670672.117698019,6178449.39792471,"01-sailing"
"36","219025740-5",2021-11-17 03:49:36,670672.103659053,6178452.96273727,"01-sailing"
"37","219025740-5",2021-11-17 03:49:39,670672.836072071,6178458.33950723,"01-sailing"
"38","219025740-5",2021-11-17 03:49:42,670673.682677397,6178465.6148554,"01-sailing"
"39","219025740-5",2021-11-17 03:49:47,670675.735361551,6178472.60325445,"01-sailing"
"40","219025740-5",2021-11-17 03:49:50,670677.158444006,6178478.00711454,"01-sailing"
"41","219025740-5",2021-11-17 03:49:53,670678.321639914,6178483.62361741,"01-sailing"
"42","219025740-5",2021-11-17 03:49:55,670679.476105544,6178489.46261365,"01-sailing"
"43","219025740-5",2021-11-17 03:50:00,670682.645873557,6178496.82908476,"01-sailing"
"44","219025740-5",2021-11-17 03:50:07,670688.336636866,6178508.86256511,"01-sailing"
"45","219025740-5",2021-11-17 03:50:09,670689.914111959,6178511.93271685,"01-sailing"
"46","219025740-5",2021-11-17 03:50:13,670693.973305026,6178520.67109776,"01-sailing"
"47","219025740-5",2021-11-17 03:50:16,670695.734772609,6178523.85988704,"01-sailing"
"48","219025740-5",2021-11-17 03:50:20,670700.757584445,6178532.07898671,"01-sailing"
"49","219025740-5",2021-11-17 03:50:22,670701.696737794,6178533.78709225,"01-sailing"
"50","219025740-5",2021-11-17 03:50:26,670705.795159811,6178541.52426689,"01-sailing"
"51","219025740-5",2021-11-17 03:50:30,670710.521446464,6178549.28607733,"01-sailing"
"52","219025740-5",2021-11-17 03:50:33,670715.468316687,6178557.8364715,"01-sailing"
"53","219025740-5",2021-11-17 03:50:43,670722.885404959,6178573.94877155,"01-sailing"
"54","219025740-5",2021-11-17 03:50:53,670730.655653469,6178589.07218467,"01-sailing"
"55","219025740-5",2021-11-17 03:50:54,670732.533907889,6178592.48840993,"01-sailing"
"56","219025740-5",2021-11-17 03:50:56,670733.598608686,6178594.20144991,"01-sailing"
"57","219025740-5",2021-11-17 03:50:58,670737.084817644,6178599.90912163,"01-sailing"
"58","219025740-5",2021-11-17 03:51:09,670748.599344144,6178618.96769155,"01-sailing"
"59","219025740-5",2021-11-17 03:51:13,670752.380962814,6178628.36375571,"01-sailing"
"60","219025740-5",2021-11-17 03:51:15,670754.219892105,6178632.78120921,"01-sailing"
"61","219025740-5",2021-11-17 03:51:19,670757.637860488,6178641.82875624,"01-sailing"
"62","219025740-5",2021-11-17 03:51:22,670759.552660966,6178645.91493676,"01-sailing"
"63","219025740-5",2021-11-17 03:51:25,670762.402192397,6178651.8204844,"01-sailing"
"64","219025740-5",2021-11-17 03:51:29,670765.852351571,6178661.64922778,"01-sailing"
"65","219025740-5",2021-11-17 03:51:33,670768.393961177,6178668.99112773,"01-sailing"
"66","219025740-5",2021-11-17 03:51:37,670770.953024772,6178675.88804357,"01-sailing"
"67","219025740-5",2021-11-17 03:51:39,670771.623506653,6178678.03129505,"01-sailing"
"68","219025740-5",2021-11-17 03:51:46,670776.906468185,6178690.82884301,"01-sailing"
"69","219025740-5",2021-11-17 03:51:50,670781.969864816,6178699.60674058,"01-sailing"
"70","219025740-5",2021-11-17 03:51:53,670784.157587274,6178703.14655777,"01-sailing"
