"id","t","x","y","label"
"1","219001125-3",2021-11-15 02:54:18,594767.946816762,6398600.51909148,"01-sailing"
"2","219001125-3",2021-11-15 02:54:25,594766.482982344,6398591.79777303,"01-sailing"
"3","219001125-3",2021-11-15 02:54:29,594766.494544359,6398586.22948974,"01-sailing"
"4","219001125-3",2021-11-15 02:54:32,594766.565113586,6398583.22412722,"01-sailing"
"5","219001125-3",2021-11-15 02:54:38,594768.341647769,6398571.01502211,"01-sailing"
"6","219001125-3",2021-11-15 02:54:46,594771.708051481,6398559.62284862,"01-sailing"
"7","219001125-3",2021-11-15 02:54:48,594772.977693784,6398556.31152991,"01-sailing"
"8","219001125-3",2021-11-15 02:54:53,594776.858704801,6398548.38394842,"01-sailing"
"9","219001125-3",2021-11-15 02:54:59,594782.82495055,6398537.94380566,"01-sailing"
"10","219001125-3",2021-11-15 02:55:05,594788.710750161,6398528.39275034,"01-sailing"
"11","219001125-3",2021-11-15 02:55:09,594792.73913004,6398521.80509698,"01-sailing"
"12","219001125-3",2021-11-15 02:55:12,594795.834875768,6398516.86610827,"01-sailing"
"13","219001125-3",2021-11-15 02:55:18,594801.969441562,6398506.8754291,"01-sailing"
"14","219001125-3",2021-11-15 02:55:25,594808.27284135,6398494.77267323,"01-sailing"
"15","219001125-3",2021-11-15 02:55:29,594811.835244048,6398487.72860655,"01-sailing"
"16","219001125-3",2021-11-15 02:55:32,594813.529720973,6398484.09316583,"01-sailing"
"17","219001125-3",2021-11-15 02:55:38,594819.701570294,6398469.98265538,"01-sailing"
"18","219001125-3",2021-11-15 02:55:48,594826.107654709,6398450.97732706,"01-sailing"
"19","219001125-3",2021-11-15 02:55:59,594833.142582118,6398422.96572172,"01-sailing"
"20","219001125-3",2021-11-15 02:56:09,594837.053532126,6398398.55596842,"01-sailing"
"21","219001125-3",2021-11-15 02:56:18,594837.682672434,6398376.85338231,"01-sailing"
"22","219001125-3",2021-11-15 02:56:29,594837.999479418,6398350.68861323,"01-sailing"
"23","219001125-3",2021-11-15 02:56:39,594836.867827906,6398327.83094467,"01-sailing"
"24","219001125-3",2021-11-15 02:56:46,594836.669126571,6398313.45940263,"01-sailing"
"25","219001125-3",2021-11-15 02:56:48,594836.905947998,6398308.45326714,"01-sailing"
"26","219001125-3",2021-11-15 02:56:52,594836.890580766,6398296.42482645,"01-sailing"
"27","219001125-3",2021-11-15 02:56:58,594837.533634438,6398281.73894985,"01-sailing"
"28","219001125-3",2021-11-15 02:57:08,594842.605220815,6398256.13139053,"01-sailing"
"29","219001125-3",2021-11-15 02:57:09,594843.144519382,6398253.4711561,"01-sailing"
"30","219001125-3",2021-11-15 02:57:15,594845.213974047,6398241.49170404,"01-sailing"
"31","219001125-3",2021-11-15 02:57:18,594846.938527465,6398231.50882819,"01-sailing"
"32","219001125-3",2021-11-15 02:57:26,594850.917929376,6398214.3398173,"01-sailing"
"33","219001125-3",2021-11-15 02:57:29,594854.079951067,6398204.05660998,"01-sailing"
"34","219001125-3",2021-11-15 02:57:32,594856.2392188,6398195.86589079,"01-sailing"
"35","219001125-3",2021-11-15 02:57:40,594861.723557837,6398178.06402878,"01-sailing"
