"id","t","x","y","label"
"1","219001149-2",2021-11-14 13:57:01,628111.060552476,6355159.04009266,"01-sailing"
"2","219001149-2",2021-11-14 13:57:12,628110.887888236,6355141.43382575,"01-sailing"
"3","219001149-2",2021-11-14 13:57:21,628118.059029351,6355127.95611756,"01-sailing"
"4","219001149-2",2021-11-14 13:57:31,628128.071060108,6355121.91952163,"01-sailing"
"5","219001149-2",2021-11-14 13:57:40,628131.994928639,6355121.70803718,"01-sailing"
"6","219001149-2",2021-11-14 13:57:51,628134.315142031,6355122.67178125,"01-sailing"
"7","219001149-2",2021-11-14 13:58:01,628136.506941722,6355121.9605418,"01-sailing"
"8","219001149-2",2021-11-14 13:58:11,628137.111449589,6355119.97428466,"01-sailing"
"9","219001149-2",2021-11-14 13:58:21,628135.389820992,6355119.14065695,"01-sailing"
"10","219001149-2",2021-11-14 13:58:31,628135.793865105,6355119.71028258,"01-sailing"
"11","219001149-2",2021-11-14 13:58:41,628136.388970295,6355119.95168974,"01-sailing"
"12","219001149-2",2021-11-14 13:58:51,628137.154253784,6355120.53261295,"01-sailing"
"13","219001149-2",2021-11-14 13:59:01,628137.869771972,6355120.77778616,"01-sailing"
"14","219001149-2",2021-11-14 13:59:11,628137.798085764,6355119.21597327,"01-sailing"
"15","219001149-2",2021-11-14 13:59:21,628137.758762126,6355118.5463559,"01-sailing"
"16","219001149-2",2021-11-14 13:59:31,628137.216902466,6355118.52940961,"01-sailing"
"17","219001149-2",2021-11-14 13:59:41,628137.164695232,6355120.19874572,"01-sailing"
"18","219001149-2",2021-11-14 13:59:51,628136.973633985,6355120.5269642,"01-sailing"
"19","219001149-2",2021-11-14 14:00:01,628136.526785833,6355119.39901017,"01-sailing"
"20","219001149-2",2021-11-14 14:00:21,628136.268557079,6355119.94792393,"01-sailing"
"21","219001149-2",2021-11-14 14:00:31,628136.361126604,6355120.84200234,"01-sailing"
"22","219001149-2",2021-11-14 14:00:41,628135.890954134,6355122.38686908,"01-sailing"
