"id","t","x","y","label"
"1","219025740-6",2021-11-20 03:46:50,670910.767977435,6178313.36387169,"01-sailing"
"2","219025740-6",2021-11-20 03:46:53,670907.675346503,6178315.24793918,"01-sailing"
"3","219025740-6",2021-11-20 03:47:10,670884.542955267,6178324.58998955,"01-sailing"
"4","219025740-6",2021-11-20 03:47:12,670879.557869229,6178326.62260127,"01-sailing"
"5","219025740-6",2021-11-20 03:47:16,670872.886160206,6178328.36615841,"01-sailing"
"6","219025740-6",2021-11-20 03:47:19,670868.501148678,6178329.53100086,"01-sailing"
"7","219025740-6",2021-11-20 03:47:22,670863.425436271,6178330.66872917,"01-sailing"
"8","219025740-6",2021-11-20 03:47:32,670844.556428962,6178333.93897532,"01-sailing"
"9","219025740-6",2021-11-20 03:47:35,670838.865919313,6178334.71834256,"01-sailing"
"10","219025740-6",2021-11-20 03:47:39,670831.700647048,6178336.2197499,"01-sailing"
"11","219025740-6",2021-11-20 03:47:53,670806.034455496,6178341.2288623,"01-sailing"
"12","219025740-6",2021-11-20 03:48:03,670786.752208229,6178343.81462767,"01-sailing"
"13","219025740-6",2021-11-20 03:48:12,670770.875472166,6178347.75970632,"01-sailing"
"14","219025740-6",2021-11-20 03:48:22,670752.269886211,6178353.93754042,"01-sailing"
"15","219025740-6",2021-11-20 03:48:43,670712.130514818,6178362.39037028,"01-sailing"
"16","219025740-6",2021-11-20 03:48:45,670708.310705095,6178363.577541,"01-sailing"
"17","219025740-6",2021-11-20 03:48:49,670699.787659339,6178366.02865729,"01-sailing"
"18","219025740-6",2021-11-20 03:48:53,670691.448632438,6178368.59842507,"01-sailing"
"19","219025740-6",2021-11-20 03:48:56,670686.216898102,6178370.5101579,"01-sailing"
"20","219025740-6",2021-11-20 03:48:59,670682.841000903,6178371.60334365,"01-sailing"
"21","219025740-6",2021-11-20 03:49:05,670671.104290555,6178375.82257063,"01-sailing"
"22","219025740-6",2021-11-20 03:49:10,670662.622270028,6178378.8324538,"01-sailing"
"23","219025740-6",2021-11-20 03:49:12,670658.990861567,6178380.02705459,"01-sailing"
"24","219025740-6",2021-11-20 03:49:15,670653.644016629,6178383.27132144,"01-sailing"
"25","219025740-6",2021-11-20 03:49:19,670647.272440105,6178388.59234473,"01-sailing"
"26","219025740-6",2021-11-20 03:49:22,670642.577047701,6178392.86492759,"01-sailing"
"27","219025740-6",2021-11-20 03:49:26,670636.815952014,6178398.65557318,"01-sailing"
"28","219025740-6",2021-11-20 03:49:28,670633.567392951,6178401.31363365,"01-sailing"
"29","219025740-6",2021-11-20 03:49:32,670628.053118312,6178407.22538504,"01-sailing"
"30","219025740-6",2021-11-20 03:49:36,670623.333319031,6178413.72537995,"01-sailing"
"31","219025740-6",2021-11-20 03:49:39,670620.499864616,6178418.6280749,"01-sailing"
"32","219025740-6",2021-11-20 03:49:43,670618.018712088,6178425.77293431,"01-sailing"
"33","219025740-6",2021-11-20 03:49:46,670616.562282423,6178430.84103794,"01-sailing"
"34","219025740-6",2021-11-20 03:49:49,670615.259331835,6178436.80649938,"01-sailing"
"35","219025740-6",2021-11-20 03:49:52,670615.270602748,6178442.9349045,"01-sailing"
"36","219025740-6",2021-11-20 03:49:55,670616.057154284,6178448.53661834,"01-sailing"
"37","219025740-6",2021-11-20 03:50:00,670619.2959394,6178457.35416875,"01-sailing"
"38","219025740-6",2021-11-20 03:50:03,670621.463844892,6178463.01004418,"01-sailing"
"39","219025740-6",2021-11-20 03:50:06,670623.162601879,6178466.19634066,"01-sailing"
"40","219025740-6",2021-11-20 03:50:08,670625.540673829,6178471.30337145,"01-sailing"
"41","219025740-6",2021-11-20 03:50:12,670629.58959306,6178478.70426886,"01-sailing"
"42","219025740-6",2021-11-20 03:50:16,670633.768437533,6178485.99884792,"01-sailing"
"43","219025740-6",2021-11-20 03:50:23,670642.652850226,6178498.38032415,"01-sailing"
"44","219025740-6",2021-11-20 03:50:26,670646.308464597,6178502.98037833,"01-sailing"
"45","219025740-6",2021-11-20 03:50:30,670650.714883993,6178509.28114294,"01-sailing"
"46","219025740-6",2021-11-20 03:50:32,670653.4182157,6178512.50684889,"01-sailing"
"47","219025740-6",2021-11-20 03:50:36,670658.987055143,6178519.63313229,"01-sailing"
"48","219025740-6",2021-11-20 03:50:39,670663.486766823,6178525.15764751,"01-sailing"
"49","219025740-6",2021-11-20 03:50:43,670669.503816486,6178532.07868944,"01-sailing"
"50","219025740-6",2021-11-20 03:50:46,670672.525423521,6178535.20547421,"01-sailing"
"51","219025740-6",2021-11-20 03:50:50,670679.45372235,6178542.94219526,"01-sailing"
"52","219025740-6",2021-11-20 03:50:52,670681.946829166,6178546.7167641,"01-sailing"
"53","219025740-6",2021-11-20 03:51:03,670693.292537472,6178566.88271914,"01-sailing"
"54","219025740-6",2021-11-20 03:51:04,670694.365987926,6178568.37325612,"01-sailing"
"55","219025740-6",2021-11-20 03:51:07,670696.56694652,6178571.57928685,"01-sailing"
"56","219025740-6",2021-11-20 03:51:10,670699.828256327,6178576.6095966,"01-sailing"
"57","219025740-6",2021-11-20 03:51:12,670703.901432386,6178581.78317539,"01-sailing"
"58","219025740-6",2021-11-20 03:51:15,670707.786235971,6178586.94936877,"01-sailing"
"59","219025740-6",2021-11-20 03:51:19,670713.170886139,6178593.9570895,"01-sailing"
"60","219025740-6",2021-11-20 03:51:23,670718.53806046,6178601.40980315,"01-sailing"
"61","219025740-6",2021-11-20 03:51:25,670721.02673196,6178605.2956423,"01-sailing"
"62","219025740-6",2021-11-20 03:51:29,670726.205516271,6178612.74097599,"01-sailing"
"63","219025740-6",2021-11-20 03:51:33,670731.559548598,6178620.52744609,"01-sailing"
"64","219025740-6",2021-11-20 03:51:39,670740.773103447,6178630.91655185,"01-sailing"
"65","219025740-6",2021-11-20 03:51:43,670746.353059082,6178636.1492997,"01-sailing"
"66","219025740-6",2021-11-20 03:51:45,670749.270787953,6178638.71498067,"01-sailing"
"67","219025740-6",2021-11-20 03:51:50,670754.930971652,6178643.50521783,"01-sailing"
"68","219025740-6",2021-11-20 03:51:52,670759.101726449,6178647.79134312,"01-sailing"
"69","219025740-6",2021-11-20 03:51:55,670763.209686324,6178652.07500861,"01-sailing"
"70","219025740-6",2021-11-20 03:51:58,670767.564418141,6178656.47978066,"01-sailing"
"71","219025740-6",2021-11-20 03:52:05,670775.970317086,6178666.61443917,"01-sailing"
"72","219025740-6",2021-11-20 03:52:08,670778.49985238,6178671.05900945,"01-sailing"
"73","219025740-6",2021-11-20 03:52:12,670782.340819816,6178677.3377374,"01-sailing"
"74","219025740-6",2021-11-20 03:52:16,670786.993628591,6178683.7597513,"01-sailing"
"75","219025740-6",2021-11-20 03:52:20,670792.332702729,6178690.32012507,"01-sailing"
"76","219025740-6",2021-11-20 03:52:23,670795.158669354,6178695.2220134,"01-sailing"
"77","219025740-6",2021-11-20 03:52:26,670798.10583431,6178700.24007908,"01-sailing"
"78","219025740-6",2021-11-20 03:52:30,670802.089783375,6178706.07876882,"01-sailing"
"79","219025740-6",2021-11-20 03:52:33,670804.283503501,6178711.06726473,"01-sailing"
"80","219025740-6",2021-11-20 03:52:38,670809.091310196,6178719.94658366,"01-sailing"
"81","219025740-6",2021-11-20 03:52:39,670810.331201846,6178722.00077697,"01-sailing"
"82","219025740-6",2021-11-20 03:52:46,670817.85406908,6178737.00325341,"01-sailing"
"83","219025740-6",2021-11-20 03:52:50,670823.390676072,6178748.13956014,"01-sailing"
"84","219025740-6",2021-11-20 03:52:52,670828.378017172,6178757.2487896,"01-sailing"
"85","219025740-6",2021-11-20 03:52:55,670834.055970131,6178766.38514024,"01-sailing"
"86","219025740-6",2021-11-20 03:53:00,670845.49042399,6178782.6554297,"01-sailing"
"87","219025740-6",2021-11-20 03:53:03,670851.850198131,6178792.0414149,"01-sailing"
"88","219025740-6",2021-11-20 03:53:10,670865.927952752,6178814.65496428,"01-sailing"
"89","219025740-6",2021-11-20 03:53:12,670869.902958151,6178820.71621318,"01-sailing"
"90","219025740-6",2021-11-20 03:53:19,670883.684639932,6178841.25697202,"01-sailing"
"91","219025740-6",2021-11-20 03:53:23,670894.065051033,6178855.5362018,"01-sailing"
"92","219025740-6",2021-11-20 03:53:26,670900.747260088,6178864.7120997,"01-sailing"
"93","219025740-6",2021-11-20 03:53:33,670916.301868652,6178884.93265385,"01-sailing"
"94","219025740-6",2021-11-20 03:53:39,670930.959459989,6178900.77272792,"01-sailing"
"95","219025740-6",2021-11-20 03:53:42,670938.18748461,6178908.85595405,"01-sailing"
"96","219025740-6",2021-11-20 03:53:48,670952.441990531,6178925.34878285,"01-sailing"
"97","219025740-6",2021-11-20 03:53:52,670962.22374694,6178935.64933646,"01-sailing"
"98","219025740-6",2021-11-20 03:53:53,670964.634508987,6178938.30667975,"01-sailing"
"99","219025740-6",2021-11-20 03:53:56,670971.087160117,6178946.91659182,"01-sailing"
"100","219025740-6",2021-11-20 03:53:59,670977.862439083,6178955.3163569,"01-sailing"
"101","219025740-6",2021-11-20 03:54:03,670985.018755523,6178963.6196901,"01-sailing"
"102","219025740-6",2021-11-20 03:54:06,670995.620882513,6178973.84114994,"01-sailing"
"103","219025740-6",2021-11-20 03:54:09,671001.141663734,6178978.96052608,"01-sailing"
"104","219025740-6",2021-11-20 03:54:12,671012.999349635,6178989.23137946,"01-sailing"
"105","219025740-6",2021-11-20 03:54:16,671021.831591232,6178996.48647133,"01-sailing"
"106","219025740-6",2021-11-20 03:54:18,671030.986457165,6179003.53142854,"01-sailing"
"107","219025740-6",2021-11-20 03:54:23,671046.261995174,6179014.82808266,"01-sailing"
"108","219025740-6",2021-11-20 03:54:27,671057.82151638,6179023.08181925,"01-sailing"
"109","219025740-6",2021-11-20 03:54:33,671074.989099085,6179034.23013381,"01-sailing"
"110","219025740-6",2021-11-20 03:54:37,671084.205042885,6179039.71775763,"01-sailing"
"111","219025740-6",2021-11-20 03:54:39,671093.721744723,6179045.55148449,"01-sailing"
"112","219025740-6",2021-11-20 03:54:43,671106.649150022,6179054.19340753,"01-sailing"
"113","219025740-6",2021-11-20 03:54:50,671125.704285235,6179065.30475161,"01-sailing"
"114","219025740-6",2021-11-20 03:54:53,671135.489503387,6179070.70346394,"01-sailing"
"115","219025740-6",2021-11-20 03:54:55,671145.391506904,6179076.32963047,"01-sailing"
"116","219025740-6",2021-11-20 03:54:58,671155.481826861,6179081.9632292,"01-sailing"
"117","219025740-6",2021-11-20 03:55:03,671168.46152572,6179089.27038483,"01-sailing"
"118","219025740-6",2021-11-20 03:55:05,671178.008649596,6179094.3255763,"01-sailing"
"119","219025740-6",2021-11-20 03:55:12,671199.538126005,6179104.86610584,"01-sailing"
"120","219025740-6",2021-11-20 03:55:23,671234.666039656,6179122.96130041,"01-sailing"
"121","219025740-6",2021-11-20 03:55:33,671267.867929285,6179138.86402164,"01-sailing"
"122","219025740-6",2021-11-20 03:55:43,671298.095593384,6179153.64713721,"01-sailing"
"123","219025740-6",2021-11-20 03:55:47,671314.856208287,6179162.32922847,"01-sailing"
"124","219025740-6",2021-11-20 03:55:48,671318.126565319,6179163.906449,"01-sailing"
"125","219025740-6",2021-11-20 03:55:53,671330.768516082,6179170.19805015,"01-sailing"
"126","219025740-6",2021-11-20 03:56:00,671353.165981563,6179179.43653917,"01-sailing"
"127","219025740-6",2021-11-20 03:56:03,671363.120054238,6179183.72825693,"01-sailing"
"128","219025740-6",2021-11-20 03:56:12,671396.424693108,6179200.19315324,"01-sailing"
"129","219025740-6",2021-11-20 03:56:22,671429.375744778,6179217.64715601,"01-sailing"
"130","219025740-6",2021-11-20 03:56:33,671463.149836211,6179238.14217204,"01-sailing"
"131","219025740-6",2021-11-20 03:56:40,671482.781463543,6179248.94364209,"01-sailing"
"132","219025740-6",2021-11-20 03:56:43,671492.816964919,6179254.35307227,"01-sailing"
"133","219025740-6",2021-11-20 03:56:53,671526.304554577,6179270.93765242,"01-sailing"
"134","219025740-6",2021-11-20 03:56:58,671546.670307273,6179280.65418191,"01-sailing"
"135","219025740-6",2021-11-20 03:57:00,671553.420952942,6179283.26017661,"01-sailing"
"136","219025740-6",2021-11-20 03:57:12,671591.795970339,6179300.26085558,"01-sailing"
"137","219025740-6",2021-11-20 03:57:14,671598.54656165,6179302.86692136,"01-sailing"
"138","219025740-6",2021-11-20 03:57:22,671626.559010779,6179314.7795913,"01-sailing"
