"id","t","x","y","label"
"1","220046000-2",2021-11-15 03:21:17,628120.685157744,6355144.19093318,"01-sailing"
"2","220046000-2",2021-11-15 03:21:20,628118.670169296,6355150.81179844,"01-sailing"
"3","220046000-2",2021-11-15 03:21:24,628115.163954962,6355156.94044303,"01-sailing"
"4","220046000-2",2021-11-15 03:21:28,628109.066463874,6355164.99322791,"01-sailing"
"5","220046000-2",2021-11-15 03:21:34,628097.569978803,6355176.10775569,"01-sailing"
"6","220046000-2",2021-11-15 03:21:37,628091.201777094,6355181.25575587,"01-sailing"
"7","220046000-2",2021-11-15 03:21:47,628066.784997074,6355202.77204078,"01-sailing"
"8","220046000-2",2021-11-15 03:21:50,628062.665342401,6355207.32198059,"01-sailing"
"9","220046000-2",2021-11-15 03:21:53,628054.55342691,6355216.20305756,"01-sailing"
"10","220046000-2",2021-11-15 03:21:58,628046.684518698,6355228.87927039,"01-sailing"
"11","220046000-2",2021-11-15 03:22:00,628044.001549669,6355237.5958485,"01-sailing"
"12","220046000-2",2021-11-15 03:22:04,628043.358595439,6355246.59897917,"01-sailing"
"13","220046000-2",2021-11-15 03:22:08,628045.685210127,6355258.9254554,"01-sailing"
"14","220046000-2",2021-11-15 03:22:10,628048.273750694,6355264.79904496,"01-sailing"
"15","220046000-2",2021-11-15 03:22:14,628055.458420227,6355275.94059171,"01-sailing"
"16","220046000-2",2021-11-15 03:22:17,628062.276211291,6355283.39455552,"01-sailing"
"17","220046000-2",2021-11-15 03:22:20,628069.766658571,6355290.53536516,"01-sailing"
"18","220046000-2",2021-11-15 03:22:24,628080.144449984,6355299.77161561,"01-sailing"
"19","220046000-2",2021-11-15 03:22:28,628090.876458313,6355309.2417649,"01-sailing"
"20","220046000-2",2021-11-15 03:22:30,628096.084975184,6355314.19472272,"01-sailing"
"21","220046000-2",2021-11-15 03:22:33,628103.246449504,6355322.21649652,"01-sailing"
"22","220046000-2",2021-11-15 03:22:37,628109.914434131,6355334.45597425,"01-sailing"
"23","220046000-2",2021-11-15 03:22:40,628111.09239629,6355344.96421521,"01-sailing"
"24","220046000-2",2021-11-15 03:22:43,628110.648345606,6355355.31033785,"01-sailing"
"25","220046000-2",2021-11-15 03:22:47,628109.72127594,6355369.54028441,"01-sailing"
"26","220046000-2",2021-11-15 03:22:50,628109.975299675,6355380.68802201,"01-sailing"
"27","220046000-2",2021-11-15 03:22:53,628110.817425433,6355392.29974203,"01-sailing"
"28","220046000-2",2021-11-15 03:22:58,628113.225484271,6355411.64689011,"01-sailing"
"29","220046000-2",2021-11-15 03:23:00,628114.058550528,6355419.69359423,"01-sailing"
"30","220046000-2",2021-11-15 03:23:04,628115.177296742,6355432.093753,"01-sailing"
"31","220046000-2",2021-11-15 03:23:08,628116.470343551,6355452.40861896,"01-sailing"
"32","220046000-2",2021-11-15 03:23:10,628117.423792364,6355460.45908969,"01-sailing"
"33","220046000-2",2021-11-15 03:23:13,628118.432546391,6355472.52161746,"01-sailing"
"34","220046000-2",2021-11-15 03:23:17,628120.155332104,6355488.7282017,"01-sailing"
"35","220046000-2",2021-11-15 03:23:20,628121.46855046,6355500.68885539,"01-sailing"
"36","220046000-2",2021-11-15 03:23:28,628124.499596694,6355532.86627139,"01-sailing"
"37","220046000-2",2021-11-15 03:23:37,628125.853991883,6355568.55598976,"01-sailing"
"38","220046000-2",2021-11-15 03:23:58,628128.181177864,6355648.27835328,"01-sailing"
"39","220046000-2",2021-11-15 03:24:08,628130.082736507,6355687.66133263,"01-sailing"
"40","220046000-2",2021-11-15 03:24:17,628132.970741698,6355724.40161999,"01-sailing"
"41","220046000-2",2021-11-15 03:24:28,628136.090615155,6355771.06359358,"01-sailing"
"42","220046000-2",2021-11-15 03:24:37,628138.577964208,6355807.12297384,"01-sailing"
"43","220046000-2",2021-11-15 03:24:58,628145.531028702,6355891.11184027,"01-sailing"
"44","220046000-2",2021-11-15 03:25:08,628150.651309709,6355931.59814039,"01-sailing"
"45","220046000-2",2021-11-15 03:25:17,628155.503309196,6355967.17454326,"01-sailing"
"46","220046000-2",2021-11-15 03:25:28,628158.118098682,6356010.70162236,"01-sailing"
"47","220046000-2",2021-11-15 03:25:37,628161.829703755,6356046.13096449,"01-sailing"
"48","220046000-2",2021-11-15 03:25:47,628164.633353497,6356085.54223711,"01-sailing"
"49","220046000-2",2021-11-15 03:25:58,628168.004013971,6356126.08524157,"01-sailing"
"50","220046000-2",2021-11-15 03:26:08,628171.363143805,6356165.06831941,"01-sailing"
"51","220046000-2",2021-11-15 03:26:17,628174.938564965,6356204.83796166,"01-sailing"
"52","220046000-2",2021-11-15 03:26:27,628179.516221358,6356245.3073686,"01-sailing"
"53","220046000-2",2021-11-15 03:26:37,628185.208516885,6356284.80909006,"01-sailing"
"54","220046000-2",2021-11-15 03:26:47,628192.578997222,6356324.58615158,"01-sailing"
"55","220046000-2",2021-11-15 03:26:58,628202.787053773,6356368.01680501,"01-sailing"
"56","220046000-2",2021-11-15 03:27:08,628210.999782399,6356407.82028555,"01-sailing"
"57","220046000-2",2021-11-15 03:27:17,628216.271696879,6356443.40998429,"01-sailing"
"58","220046000-2",2021-11-15 03:27:27,628223.581290886,6356483.18523226,"01-sailing"
"59","220046000-2",2021-11-15 03:27:37,628230.936961737,6356523.40753834,"01-sailing"
"60","220046000-2",2021-11-15 03:27:47,628238.727696914,6356563.19789736,"01-sailing"
"61","220046000-2",2021-11-15 03:27:58,628247.900888514,6356606.93051741,"01-sailing"
"62","220046000-2",2021-11-15 03:28:07,628254.924412923,6356642.3523638,"01-sailing"
"63","220046000-2",2021-11-15 03:28:17,628259.99239641,6356682.50311007,"01-sailing"
"64","220046000-2",2021-11-15 03:28:27,628266.816018252,6356722.37466645,"01-sailing"
"65","220046000-2",2021-11-15 03:28:37,628276.000540904,6356761.87460573,"01-sailing"
