"id","t","x","y","label"
"1","219005919-2",2021-11-15 01:40:47,557199.109348873,6383816.00464688,"01-sailing"
"2","219005919-2",2021-11-15 01:41:17,557260.905972591,6383864.19664171,"01-sailing"
"3","219005919-2",2021-11-15 01:41:47,557327.135370437,6383907.44188784,"01-sailing"
"4","219005919-2",2021-11-15 01:42:19,557405.549579482,6383930.26248329,"01-sailing"
"5","219005919-2",2021-11-15 01:42:49,557483.363802077,6383910.98897996,"01-sailing"
"6","219005919-2",2021-11-15 01:44:18,557577.904865714,6383884.27178001,"01-sailing"
"7","219005919-2",2021-11-15 01:44:47,557575.62687674,6383888.91579467,"01-sailing"
"8","219005919-2",2021-11-15 01:45:17,557574.845079907,6383889.23872272,"01-sailing"
"9","219005919-2",2021-11-15 01:45:48,557574.29131714,6383890.34427919,"01-sailing"
"10","219005919-2",2021-11-15 01:46:18,557577.745814761,6383887.05306373,"01-sailing"
"11","219005919-2",2021-11-15 01:46:49,557576.211971767,6383889.81483292,"01-sailing"
"12","219005919-2",2021-11-15 01:49:49,557576.620635128,6383894.71966654,"01-sailing"
"13","219005919-2",2021-11-15 01:52:48,557576.01025929,6383895.60173587,"01-sailing"
"14","219005919-2",2021-11-15 01:55:21,557555.282077884,6383911.22942146,"01-sailing"
"15","219005919-2",2021-11-15 01:55:49,557505.651326562,6383945.59811071,"01-sailing"
"16","219005919-2",2021-11-15 01:56:19,557534.78450389,6383999.12120907,"01-sailing"
"17","219005919-2",2021-11-15 01:56:49,557566.992059539,6384076.06992209,"01-sailing"
"18","219005919-2",2021-11-15 01:57:19,557494.349665021,6384152.42200485,"01-sailing"
"19","219005919-2",2021-11-15 01:57:50,557418.402104319,6384234.40697279,"01-sailing"
"20","219005919-2",2021-11-15 01:58:21,557336.301484578,6384324.76828082,"01-sailing"
"21","219005919-2",2021-11-15 01:58:52,557277.687817591,6384432.72078179,"01-sailing"
"22","219005919-2",2021-11-15 01:59:20,557222.077724255,6384527.13279384,"01-sailing"
"23","219005919-2",2021-11-15 01:59:51,557121.859061676,6384588.9619137,"01-sailing"
"24","219005919-2",2021-11-15 02:00:18,557024.069785356,6384550.508947,"01-sailing"
"25","219005919-2",2021-11-15 02:00:50,556905.821692642,6384508.7650264,"01-sailing"
"26","219005919-2",2021-11-15 02:01:19,556799.1250937,6384470.0812466,"01-sailing"
"27","219005919-2",2021-11-15 02:01:49,556693.152394928,6384426.51141882,"01-sailing"
"28","219005919-2",2021-11-15 02:02:19,556577.62648694,6384386.26269978,"01-sailing"
"29","219005919-2",2021-11-15 02:02:49,556472.070771408,6384342.48187653,"01-sailing"
"30","219005919-2",2021-11-15 02:03:19,556360.291796249,6384303.293685,"01-sailing"
"31","219005919-2",2021-11-15 02:03:49,556246.450148386,6384257.51089198,"01-sailing"
"32","219005919-2",2021-11-15 02:04:19,556136.28698413,6384213.56371327,"01-sailing"
"33","219005919-2",2021-11-15 02:04:50,556020.717635711,6384171.32635366,"01-sailing"
"34","219005919-2",2021-11-15 02:05:19,555911.605606394,6384133.18961405,"01-sailing"
"35","219005919-2",2021-11-15 02:05:49,555799.10150405,6384093.78443542,"01-sailing"
"36","219005919-2",2021-11-15 02:06:19,555687.750781945,6384052.95082734,"01-sailing"
"37","219005919-2",2021-11-15 02:06:49,555578.351739943,6384009.14086663,"01-sailing"
"38","219005919-2",2021-11-15 02:07:20,555462.77099904,6383966.91948036,"01-sailing"
"39","219005919-2",2021-11-15 02:07:50,555350.333078385,6383926.41442739,"01-sailing"
"40","219005919-2",2021-11-15 02:08:20,555239.624223311,6383881.7051466,"01-sailing"
"41","219005919-2",2021-11-15 02:09:23,555004.952860712,6383794.78822001,"01-sailing"
"42","219005919-2",2021-11-15 02:09:51,554901.168693285,6383754.74717525,"01-sailing"
"43","219005919-2",2021-11-15 02:10:21,554793.951599803,6383711.99029033,"01-sailing"
"44","219005919-2",2021-11-15 02:10:50,554681.761579785,6383674.29089054,"01-sailing"
"45","219005919-2",2021-11-15 02:11:20,554573.854128779,6383633.64606474,"01-sailing"
"46","219005919-2",2021-11-15 02:11:50,554461.679418344,6383594.50561995,"01-sailing"
"47","219005919-2",2021-11-15 02:12:21,554344.758976376,6383547.95630875,"01-sailing"
"48","219005919-2",2021-11-15 02:12:52,554230.529185588,6383505.67730025,"01-sailing"
"49","219005919-2",2021-11-15 02:13:20,554127.009856474,6383467.10731269,"01-sailing"
"50","219005919-2",2021-11-15 02:13:50,554015.509192078,6383426.09559612,"01-sailing"
"51","219005919-2",2021-11-15 02:14:21,553901.604116617,6383381.38083352,"01-sailing"
"52","219005919-2",2021-11-15 02:14:50,553796.154538059,6383339.11955946,"01-sailing"
"53","219005919-2",2021-11-15 02:15:22,553681.617410169,6383296.62947674,"01-sailing"
"54","219005919-2",2021-11-15 02:15:50,553575.543541125,6383256.03585513,"01-sailing"
"55","219005919-2",2021-11-15 02:16:21,553460.124167665,6383212.09305293,"01-sailing"
"56","219005919-2",2021-11-15 02:16:52,553345.171829769,6383168.82775863,"01-sailing"
"57","219005919-2",2021-11-15 02:17:21,553236.727650701,6383130.66142375,"01-sailing"
"58","219005919-2",2021-11-15 02:17:52,553123.412603472,6383085.30854041,"01-sailing"
"59","219005919-2",2021-11-15 02:18:21,553016.935515004,6383042.72035228,"01-sailing"
"60","219005919-2",2021-11-15 02:18:52,552903.00471249,6382998.36772443,"01-sailing"
"61","219005919-2",2021-11-15 02:19:22,552791.846690903,6382956.72655405,"01-sailing"
"62","219005919-2",2021-11-15 02:19:52,552684.616509309,6382916.36419806,"01-sailing"
