"id","t","x","y","label"
"1","219005893-2",2021-11-15 01:34:46,475775.113664673,6331203.20152108,"01-sailing"
"2","219005893-2",2021-11-15 01:35:16,475720.810129599,6331235.46927749,"01-sailing"
"3","219005893-2",2021-11-15 01:35:45,475652.931350519,6331203.80858782,"01-sailing"
"4","219005893-2",2021-11-15 01:36:16,475574.8047054,6331169.76054556,"01-sailing"
"5","219005893-2",2021-11-15 01:36:46,475507.076312676,6331133.20325462,"01-sailing"
"6","219005893-2",2021-11-15 01:37:16,475437.622574902,6331081.62908278,"01-sailing"
"7","219005893-2",2021-11-15 01:37:46,475384.114619268,6331104.99091125,"01-sailing"
"8","219005893-2",2021-11-15 01:38:16,475399.558211689,6331197.07214238,"01-sailing"
"9","219005893-2",2021-11-15 01:38:46,475388.308240999,6331290.53693338,"01-sailing"
"10","219005893-2",2021-11-15 01:39:16,475359.998997608,6331376.19976057,"01-sailing"
"11","219005893-2",2021-11-15 01:39:45,475329.354411102,6331465.99560614,"01-sailing"
"12","219005893-2",2021-11-15 01:40:17,475312.084716234,6331564.84000411,"01-sailing"
"13","219005893-2",2021-11-15 01:40:47,475345.913084965,6331643.45278336,"01-sailing"
"14","219005893-2",2021-11-15 01:41:15,475389.140381838,6331714.6626675,"01-sailing"
"15","219005893-2",2021-11-15 01:41:46,475427.168335098,6331797.48125783,"01-sailing"
"16","219005893-2",2021-11-15 01:42:17,475462.686004901,6331885.99245274,"01-sailing"
"17","219005893-2",2021-11-15 01:42:46,475448.766878616,6331968.22967172,"01-sailing"
"18","219005893-2",2021-11-15 01:43:17,475404.888220353,6332051.3132114,"01-sailing"
"19","219005893-2",2021-11-15 01:43:46,475367.842863341,6332132.90930704,"01-sailing"
"20","219005893-2",2021-11-15 01:44:18,475331.945743322,6332224.07246185,"01-sailing"
"21","219005893-2",2021-11-15 01:44:46,475252.378091512,6332259.94851615,"01-sailing"
"22","219005893-2",2021-11-15 01:45:18,475151.847693355,6332292.50127981,"01-sailing"
"23","219005893-2",2021-11-15 01:45:46,475063.134239664,6332316.97003713,"01-sailing"
"24","219005893-2",2021-11-15 01:46:16,474974.181924355,6332351.79497597,"01-sailing"
"25","219005893-2",2021-11-15 01:46:46,474885.227446183,6332395.97279353,"01-sailing"
"26","219005893-2",2021-11-15 01:47:18,474787.704382322,6332444.21240624,"01-sailing"
