"id","t","x","y","label"
"1","219025739-4",2021-11-16 06:02:35,563838.657234078,6174935.98198086,"01-sailing"
"2","219025739-4",2021-11-16 06:02:38,563831.295001277,6174940.99433309,"01-sailing"
"3","219025739-4",2021-11-16 06:02:41,563824.597723601,6174947.79739463,"01-sailing"
"4","219025739-4",2021-11-16 06:02:45,563816.279410341,6174958.0273154,"01-sailing"
"5","219025739-4",2021-11-16 06:02:48,563809.939541579,6174966.17135036,"01-sailing"
"6","219025739-4",2021-11-16 06:02:52,563801.722486932,6174978.07242545,"01-sailing"
"7","219025739-4",2021-11-16 06:02:54,563797.428775528,6174983.79763702,"01-sailing"
"8","219025739-4",2021-11-16 06:02:57,563791.639690593,6174992.95155096,"01-sailing"
"9","219025739-4",2021-11-16 06:03:01,563787.984137668,6175006.58910043,"01-sailing"
"10","219025739-4",2021-11-16 06:03:05,563787.467957534,6175020.38393475,"01-sailing"
"11","219025739-4",2021-11-16 06:03:09,563788.343584644,6175033.5312936,"01-sailing"
"12","219025739-4",2021-11-16 06:03:11,563789.310470797,6175040.44665019,"01-sailing"
"13","219025739-4",2021-11-16 06:03:15,563791.619517695,6175054.39417005,"01-sailing"
"14","219025739-4",2021-11-16 06:03:18,563794.797351065,6175064.79250761,"01-sailing"
"15","219025739-4",2021-11-16 06:03:22,563801.012539488,6175078.01807775,"01-sailing"
"16","219025739-4",2021-11-16 06:03:26,563809.384715021,6175089.82823075,"01-sailing"
"17","219025739-4",2021-11-16 06:03:28,563811.983968604,6175092.53774101,"01-sailing"
"18","219025739-4",2021-11-16 06:03:32,563827.029513866,6175103.44391382,"01-sailing"
"19","219025739-4",2021-11-16 06:03:36,563836.564076422,6175108.81519479,"01-sailing"
"20","219025739-4",2021-11-16 06:03:38,563846.238933383,6175113.18676656,"01-sailing"
"21","219025739-4",2021-11-16 06:03:41,563855.912139747,6175117.66964573,"01-sailing"
"22","219025739-4",2021-11-16 06:03:45,563868.891843427,6175123.75936556,"01-sailing"
"23","219025739-4",2021-11-16 06:03:48,563878.560107485,6175128.5761527,"01-sailing"
"24","219025739-4",2021-11-16 06:03:51,563888.482887098,6175133.17407559,"01-sailing"
"25","219025739-4",2021-11-16 06:03:56,563901.910389176,6175138.71391565,"01-sailing"
"26","219025739-4",2021-11-16 06:03:57,563908.528267976,6175141.59375451,"01-sailing"
"27","219025739-4",2021-11-16 06:04:02,563924.877124304,6175149.29141602,"01-sailing"
"28","219025739-4",2021-11-16 06:04:05,563934.421269586,6175153.9951985,"01-sailing"
"29","219025739-4",2021-11-16 06:04:09,563947.642225893,6175160.75655759,"01-sailing"
