"id","t","x","y","label"
"1","220051000-2",2021-11-16 02:10:42,557364.452388682,6383940.48119422,"01-sailing"
"2","220051000-2",2021-11-16 02:10:44,557364.894413356,6383938.8173223,"01-sailing"
"3","220051000-2",2021-11-16 02:10:48,557366.13710102,6383935.49465072,"01-sailing"
"4","220051000-2",2021-11-16 02:10:54,557369.06602828,6383931.30509608,"01-sailing"
"5","220051000-2",2021-11-16 02:11:02,557374.628122963,6383926.93010527,"01-sailing"
"6","220051000-2",2021-11-16 02:11:05,557376.193243674,6383926.17285309,"01-sailing"
"7","220051000-2",2021-11-16 02:11:09,557379.738748708,6383924.88690797,"01-sailing"
"8","220051000-2",2021-11-16 02:11:15,557386.206836305,6383924.08767886,"01-sailing"
"9","220051000-2",2021-11-16 02:11:21,557392.350860052,6383925.06533975,"01-sailing"
"10","220051000-2",2021-11-16 02:11:26,557398.002519695,6383927.03811681,"01-sailing"
"11","220051000-2",2021-11-16 02:11:28,557400.380837683,6383927.96250469,"01-sailing"
"12","220051000-2",2021-11-16 02:11:35,557408.223607636,6383931.41374403,"01-sailing"
"13","220051000-2",2021-11-16 02:11:41,557418.921281135,6383935.90748547,"01-sailing"
"14","220051000-2",2021-11-16 02:11:44,557423.976760744,6383937.76051834,"01-sailing"
"15","220051000-2",2021-11-16 02:11:48,557430.935509427,6383940.30855465,"01-sailing"
"16","220051000-2",2021-11-16 02:11:54,557441.99019524,6383944.91875442,"01-sailing"
"17","220051000-2",2021-11-16 02:12:01,557456.193886418,6383950.90968869,"01-sailing"
"18","220051000-2",2021-11-16 02:12:05,557462.735761782,6383953.34053381,"01-sailing"
"19","220051000-2",2021-11-16 02:12:15,557487.125788858,6383961.9254131,"01-sailing"
"20","220051000-2",2021-11-16 02:12:26,557509.557227556,6383973.71157855,"01-sailing"
"21","220051000-2",2021-11-16 02:12:35,557527.534044016,6383983.43053959,"01-sailing"
"22","220051000-2",2021-11-16 02:12:41,557539.648612824,6383989.16945904,"01-sailing"
"23","220051000-2",2021-11-16 02:12:44,557545.469954921,6383991.81290191,"01-sailing"
"24","220051000-2",2021-11-16 02:12:48,557552.886180057,6383995.81508289,"01-sailing"
"25","220051000-2",2021-11-16 02:12:54,557563.12405011,6384003.19757066,"01-sailing"
"26","220051000-2",2021-11-16 02:13:02,557573.451404715,6384012.69684706,"01-sailing"
"27","220051000-2",2021-11-16 02:13:05,557577.518768739,6384016.76288281,"01-sailing"
"28","220051000-2",2021-11-16 02:13:08,557582.819204036,6384022.40521163,"01-sailing"
"29","220051000-2",2021-11-16 02:13:15,557591.719850605,6384031.32757397,"01-sailing"
"30","220051000-2",2021-11-16 02:13:22,557598.586650743,6384040.33241605,"01-sailing"
