"id","t","x","y","label"
"1","219005878-2",2021-11-15 04:00:21,628093.694302383,6355142.01023039,"01-sailing"
"2","219005878-2",2021-11-15 04:00:23,628094.578942462,6355140.70111324,"01-sailing"
"3","219005878-2",2021-11-15 04:00:24,628096.224332181,6355138.19040395,"01-sailing"
"4","219005878-2",2021-11-15 04:00:28,628099.80223149,6355133.62355552,"01-sailing"
"5","219005878-2",2021-11-15 04:00:34,628105.879920468,6355128.13228835,"01-sailing"
"6","219005878-2",2021-11-15 04:00:38,628109.260871603,6355126.0100431,"01-sailing"
"7","219005878-2",2021-11-15 04:00:42,628113.966370271,6355123.92921707,"01-sailing"
"8","219005878-2",2021-11-15 04:00:45,628117.131910024,6355122.91422139,"01-sailing"
"9","219005878-2",2021-11-15 04:00:48,628120.768663921,6355122.24815676,"01-sailing"
"10","219005878-2",2021-11-15 04:00:51,628122.886334195,6355121.98018371,"01-sailing"
"11","219005878-2",2021-11-15 04:00:54,628124.57907859,6355121.81032169,"01-sailing"
"12","219005878-2",2021-11-15 04:00:58,628125.790170506,6355121.62539834,"01-sailing"
"13","219005878-2",2021-11-15 04:01:01,628127.295335033,6355121.67246736,"01-sailing"
"14","219005878-2",2021-11-15 04:01:04,628128.322327151,6355121.59318553,"01-sailing"
"15","219005878-2",2021-11-15 04:01:07,628128.924392973,6355121.61201344,"01-sailing"
"16","219005878-2",2021-11-15 04:01:10,628129.884217997,6355121.75342737,"01-sailing"
"17","219005878-2",2021-11-15 04:01:15,628130.900769229,6355122.00801342,"01-sailing"
"18","219005878-2",2021-11-15 04:01:17,628131.322215265,6355122.02119321,"01-sailing"
"19","219005878-2",2021-11-15 04:01:21,628131.495874332,6355122.24941987,"01-sailing"
"20","219005878-2",2021-11-15 04:01:24,628131.375461186,6355122.2456542,"01-sailing"
"21","219005878-2",2021-11-15 04:01:28,628131.315254613,6355122.24377137,"01-sailing"
"22","219005878-2",2021-11-15 04:01:35,628130.773395453,6355122.22682593,"01-sailing"
"23","219005878-2",2021-11-15 04:01:39,628130.592775732,6355122.22117746,"01-sailing"
"24","219005878-2",2021-11-15 04:01:42,628130.479323192,6355121.99483366,"01-sailing"
"25","219005878-2",2021-11-15 04:01:43,628130.419116615,6355121.99295085,"01-sailing"
"26","219005878-2",2021-11-15 04:01:47,628130.426077218,6355121.77037269,"01-sailing"
"27","219005878-2",2021-11-15 04:01:51,628130.606696959,6355121.77602115,"01-sailing"
"28","219005878-2",2021-11-15 04:01:55,628130.780356076,6355122.00424777,"01-sailing"
"29","219005878-2",2021-11-15 04:02:00,628131.208762758,6355121.7948494,"01-sailing"
"30","219005878-2",2021-11-15 04:02:03,628131.389382498,6355121.80049789,"01-sailing"
"31","219005878-2",2021-11-15 04:02:04,628131.52023665,6355121.47039632,"01-sailing"
"32","219005878-2",2021-11-15 04:02:07,628131.707817076,6355121.25346667,"01-sailing"
"33","219005878-2",2021-11-15 04:02:11,628131.941682742,6355121.48357618,"01-sailing"
"34","219005878-2",2021-11-15 04:02:14,628132.001889327,6355121.48545902,"01-sailing"
"35","219005878-2",2021-11-15 04:02:21,628132.533307511,6355121.83627186,"01-sailing"
"36","219005878-2",2021-11-15 04:02:28,628132.53678787,6355121.72498278,"01-sailing"
"37","219005878-2",2021-11-15 04:02:40,628132.898027356,6355121.73627989,"01-sailing"
"38","219005878-2",2021-11-15 04:02:51,628133.018440518,6355121.7400456,"01-sailing"
"39","219005878-2",2021-11-15 04:03:00,628133.199060261,6355121.74569417,"01-sailing"
"40","219005878-2",2021-11-15 04:03:21,628133.206021014,6355121.52311602,"01-sailing"
"41","219005878-2",2021-11-15 04:03:40,628133.333394943,6355121.30430358,"01-sailing"
"42","219005878-2",2021-11-15 04:03:51,628133.336875323,6355121.19301451,"01-sailing"
"43","219005878-2",2021-11-15 04:04:11,628132.793975606,6355119.28227164,"01-sailing"
"44","219005878-2",2021-11-15 04:04:21,628132.021730607,6355118.9239274,"01-sailing"
"45","219005878-2",2021-11-15 04:04:32,628131.901317363,6355118.92016172,"01-sailing"
"46","219005878-2",2021-11-15 04:04:40,628131.717217163,6355119.02580229,"01-sailing"
"47","219005878-2",2021-11-15 04:04:51,628132.064535513,6355119.48225563,"01-sailing"
