"id","t","x","y","label"
"1","220137000-2",2021-11-15 21:44:22,594338.843660827,6398117.36329768,"01-sailing"
"2","220137000-2",2021-11-15 21:44:27,594345.732446904,6398120.97679345,"01-sailing"
"3","220137000-2",2021-11-15 21:44:30,594349.956283345,6398123.8597857,"01-sailing"
"4","220137000-2",2021-11-15 21:44:33,594354.055774598,6398126.96261727,"01-sailing"
"5","220137000-2",2021-11-15 21:44:35,594358.326156497,6398130.40355993,"01-sailing"
"6","220137000-2",2021-11-15 21:44:40,594363.994927486,6398135.21364609,"01-sailing"
"7","220137000-2",2021-11-15 21:44:42,594366.978226764,6398137.62217371,"01-sailing"
"8","220137000-2",2021-11-15 21:44:46,594372.937007351,6398142.77316514,"01-sailing"
"9","220137000-2",2021-11-15 21:44:49,594377.427408183,6398146.99886787,"01-sailing"
"10","220137000-2",2021-11-15 21:44:55,594388.404837638,6398156.72205529,"01-sailing"
"11","220137000-2",2021-11-15 21:45:05,594402.846903923,6398171.20387159,"01-sailing"
"12","220137000-2",2021-11-15 21:45:15,594415.763560318,6398184.64772577,"01-sailing"
"13","220137000-2",2021-11-15 21:45:27,594430.746407329,6398201.48108358,"01-sailing"
"14","220137000-2",2021-11-15 21:45:35,594444.375063932,6398215.05306406,"01-sailing"
"15","220137000-2",2021-11-15 21:45:46,594459.375909603,6398231.1073623,"01-sailing"
"16","220137000-2",2021-11-15 21:45:55,594474.288409931,6398248.38473121,"01-sailing"
"17","220137000-2",2021-11-15 21:46:05,594490.451659538,6398265.69143981,"01-sailing"
"18","220137000-2",2021-11-15 21:46:13,594502.705050743,6398276.8926502,"01-sailing"
"19","220137000-2",2021-11-15 21:46:15,594508.13517948,6398281.69736468,"01-sailing"
"20","220137000-2",2021-11-15 21:46:20,594517.488404861,6398289.48959334,"01-sailing"
"21","220137000-2",2021-11-15 21:46:23,594521.289771485,6398292.58562392,"01-sailing"
"22","220137000-2",2021-11-15 21:46:27,594529.014224462,6398298.66917628,"01-sailing"
"23","220137000-2",2021-11-15 21:46:35,594546.589149514,6398311.66572384,"01-sailing"
"24","220137000-2",2021-11-15 21:46:46,594565.197426606,6398323.79559528,"01-sailing"
"25","220137000-2",2021-11-15 21:46:56,594582.428208601,6398333.66585892,"01-sailing"
"26","220137000-2",2021-11-15 21:47:05,594599.368911325,6398343.19528744,"01-sailing"
"27","220137000-2",2021-11-15 21:47:15,594617.557778388,6398352.86542035,"01-sailing"
"28","220137000-2",2021-11-15 21:47:37,594657.251619546,6398378.18637061,"01-sailing"
"29","220137000-2",2021-11-15 21:47:46,594675.110554588,6398391.74701938,"01-sailing"
"30","220137000-2",2021-11-15 21:47:56,594695.564054413,6398406.48233431,"01-sailing"
"31","220137000-2",2021-11-15 21:48:06,594718.938624692,6398421.17493758,"01-sailing"
"32","220137000-2",2021-11-15 21:48:13,594734.415690505,6398429.55689745,"01-sailing"
"33","220137000-2",2021-11-15 21:48:15,594738.955033731,6398431.66812571,"01-sailing"
"34","220137000-2",2021-11-15 21:48:20,594748.101108562,6398435.55806682,"01-sailing"
"35","220137000-2",2021-11-15 21:48:23,594757.441535442,6398438.7843658,"01-sailing"
"36","220137000-2",2021-11-15 21:48:27,594764.663810959,6398440.84724256,"01-sailing"
"37","220137000-2",2021-11-15 21:48:29,594771.956097346,6398442.46629213,"01-sailing"
"38","220137000-2",2021-11-15 21:48:32,594779.323624762,6398443.41889546,"01-sailing"
"39","220137000-2",2021-11-15 21:48:37,594789.148920311,6398443.76100713,"01-sailing"
"40","220137000-2",2021-11-15 21:48:40,594796.317405546,6398443.03840061,"01-sailing"
