"id","t","x","y","label"
"1","219002506-1",2021-11-14 13:06:19,648005.69640022,6205522.92149509,"01-sailing"
"2","219002506-1",2021-11-14 13:07:10,648112.150347173,6205633.51355864,"01-sailing"
"3","219002506-1",2021-11-14 13:07:19,648123.530098339,6205675.00829083,"01-sailing"
"4","219002506-1",2021-11-14 13:07:50,648162.965664349,6205803.46210047,"01-sailing"
"5","219002506-1",2021-11-14 13:07:59,648175.562929044,6205842.214056,"01-sailing"
"6","219002506-1",2021-11-14 13:08:10,648190.695853694,6205888.96209044,"01-sailing"
"7","219002506-1",2021-11-14 13:08:19,648204.990861215,6205931.00290451,"01-sailing"
"8","219002506-1",2021-11-14 13:08:30,648218.521623975,6205973.46307912,"01-sailing"
"9","219002506-1",2021-11-14 13:08:50,648249.877992673,6206056.97179583,"01-sailing"
"10","219002506-1",2021-11-14 13:08:59,648264.145297954,6206094.33342853,"01-sailing"
"11","219002506-1",2021-11-14 13:09:10,648281.665883953,6206140.60704907,"01-sailing"
"12","219002506-1",2021-11-14 13:09:19,648296.464557392,6206180.66052574,"01-sailing"
"13","219002506-1",2021-11-14 13:09:30,648310.667033968,6206221.69609354,"01-sailing"
"14","219002506-1",2021-11-14 13:09:40,648325.204089599,6206262.07487973,"01-sailing"
"15","219002506-1",2021-11-14 13:09:50,648340.712146159,6206303.26689516,"01-sailing"
"16","219002506-1",2021-11-14 13:09:59,648354.350050141,6206340.71865664,"01-sailing"
"17","219002506-1",2021-11-14 13:10:10,648370.866553616,6206387.06959502,"01-sailing"
"18","219002506-1",2021-11-14 13:10:59,648432.688829007,6206601.2902463,"01-sailing"
"19","219002506-1",2021-11-14 13:11:10,648446.981779922,6206648.67894865,"01-sailing"
"20","219002506-1",2021-11-14 13:11:20,648462.233006038,6206695.43236676,"01-sailing"
"21","219002506-1",2021-11-14 13:11:29,648472.728320129,6206729.76878466,"01-sailing"
"22","219002506-1",2021-11-14 13:11:40,648486.275632192,6206777.02059286,"01-sailing"
"23","219002506-1",2021-11-14 13:11:50,648498.526009709,6206820.21762317,"01-sailing"
"24","219002506-1",2021-11-14 13:11:59,648509.042921965,6206859.34481823,"01-sailing"
"25","219002506-1",2021-11-14 13:12:10,648522.461762838,6206908.48604943,"01-sailing"
"26","219002506-1",2021-11-14 13:12:20,648535.844723163,6206956.84635276,"01-sailing"
"27","219002506-1",2021-11-14 13:12:29,648544.643115033,6206991.45871891,"01-sailing"
"28","219002506-1",2021-11-14 13:12:40,648556.754059997,6207038.66134378,"01-sailing"
"29","219002506-1",2021-11-14 13:12:50,648568.936573584,6207081.96772124,"01-sailing"
"30","219002506-1",2021-11-14 13:12:59,648580.122741007,6207121.5638177,"01-sailing"
"31","219002506-1",2021-11-14 13:13:09,648593.672127767,6207170.48708954,"01-sailing"
"32","219002506-1",2021-11-14 13:13:20,648607.451451896,6207219.97531989,"01-sailing"
"33","219002506-1",2021-11-14 13:13:29,648617.948813798,6207255.98321761,"01-sailing"
"34","219002506-1",2021-11-14 13:13:40,648632.49126173,6207305.052308,"01-sailing"
"35","219002506-1",2021-11-14 13:13:59,648656.889986181,6207388.77066626,"01-sailing"
"36","219002506-1",2021-11-14 13:14:09,648671.450616885,6207437.28360422,"01-sailing"
"37","219002506-1",2021-11-14 13:14:19,648682.560780252,6207477.21164371,"01-sailing"
"38","219002506-1",2021-11-14 13:14:29,648694.265500028,6207521.61598455,"01-sailing"
"39","219002506-1",2021-11-14 13:14:39,648707.476192107,6207569.41415377,"01-sailing"
"40","219002506-1",2021-11-14 13:14:50,648719.203369779,6207613.15100856,"01-sailing"
"41","219002506-1",2021-11-14 13:14:59,648729.579525913,6207652.60831797,"01-sailing"
"42","219002506-1",2021-11-14 13:15:09,648742.74321855,6207701.74174809,"01-sailing"
"43","219002506-1",2021-11-14 13:15:19,648754.600172785,6207741.69584031,"01-sailing"
"44","219002506-1",2021-11-14 13:15:29,648768.816824635,6207785.63023476,"01-sailing"
"45","219002506-1",2021-11-14 13:15:39,648784.064296386,6207834.05604052,"01-sailing"
"46","219002506-1",2021-11-14 13:15:50,648797.208643788,6207878.28771796,"01-sailing"
"47","219002506-1",2021-11-14 13:15:59,648809.721418897,6207922.720426,"01-sailing"
"48","219002506-1",2021-11-14 13:16:09,648821.85206839,6207967.36277487,"01-sailing"
"49","219002506-1",2021-11-14 13:16:19,648832.834367921,6208007.28696171,"01-sailing"
"50","219002506-1",2021-11-14 13:16:29,648846.77066029,6208055.66778799,"01-sailing"
"51","219002506-1",2021-11-14 13:16:39,648861.285329564,6208099.9470897,"01-sailing"
"52","219002506-1",2021-11-14 13:16:50,648876.337789749,6208144.91340703,"01-sailing"
"53","219002506-1",2021-11-14 13:16:59,648890.352949286,6208189.1755821,"01-sailing"
"54","219002506-1",2021-11-14 13:17:09,648904.441676104,6208233.10618162,"01-sailing"
"55","219002506-1",2021-11-14 13:17:29,648931.140939297,6208320.35949782,"01-sailing"
"56","219002506-1",2021-11-14 13:17:39,648943.490562194,6208364.00736452,"01-sailing"
"57","219002506-1",2021-11-14 13:17:50,648956.323319274,6208408.11756529,"01-sailing"
"58","219002506-1",2021-11-14 13:18:29,649013.905461731,6208584.21819631,"01-sailing"
"59","219002506-1",2021-11-14 13:18:39,649028.599403027,6208628.61587557,"01-sailing"
"60","219002506-1",2021-11-14 13:18:50,649044.833934593,6208677.18851966,"01-sailing"
"61","219002506-1",2021-11-14 13:18:59,649058.149466833,6208716.30311033,"01-sailing"
"62","219002506-1",2021-11-14 13:19:09,649072.327490793,6208759.34640882,"01-sailing"
"63","219002506-1",2021-11-14 13:19:19,649084.212366965,6208798.30020125,"01-sailing"
"64","219002506-1",2021-11-14 13:19:29,649097.947840844,6208846.89801699,"01-sailing"
"65","219002506-1",2021-11-14 13:19:40,649111.587662505,6208891.03680912,"01-sailing"
"66","219002506-1",2021-11-14 13:19:50,649127.531435819,6208938.93145155,"01-sailing"
"67","219002506-1",2021-11-14 13:19:59,649141.215427357,6208978.17054833,"01-sailing"
"68","219002506-1",2021-11-14 13:20:09,649155.317653053,6209021.54578389,"01-sailing"
"69","219002506-1",2021-11-14 13:20:19,649167.185454623,6209060.94488441,"01-sailing"
"70","219002506-1",2021-11-14 13:20:29,649182.555202592,6209109.15410941,"01-sailing"
"71","219002506-1",2021-11-14 13:20:50,649214.254299196,6209201.26164776,"01-sailing"
"72","219002506-1",2021-11-14 13:20:59,649227.753320154,6209240.38331597,"01-sailing"
"73","219002506-1",2021-11-14 13:21:09,649242.029057935,6209284.09913941,"01-sailing"
"74","219002506-1",2021-11-14 13:21:19,649254.382289159,6209323.84958223,"01-sailing"
"75","219002506-1",2021-11-14 13:21:29,649269.86685429,6209372.28600679,"01-sailing"
"76","219002506-1",2021-11-14 13:21:40,649284.511785049,6209416.12621723,"01-sailing"
