"id","t","x","y","label"
"1","219004002-2",2021-11-15 06:35:06,607574.597478332,6068371.51774319,"01-sailing"
"2","219004002-2",2021-11-15 06:35:12,607567.299129267,6068383.25526203,"01-sailing"
"3","219004002-2",2021-11-15 06:35:16,607563.93174375,6068394.86381282,"01-sailing"
"4","219004002-2",2021-11-15 06:35:19,607563.040192778,6068399.85205035,"01-sailing"
"5","219004002-2",2021-11-15 06:35:23,607563.644235528,6068412.33448578,"01-sailing"
"6","219004002-2",2021-11-15 06:35:26,607565.010386004,6068417.15387641,"01-sailing"
"7","219004002-2",2021-11-15 06:35:30,607569.418533996,6068426.7212716,"01-sailing"
"8","219004002-2",2021-11-15 06:35:33,607571.488710849,6068437.12353224,"01-sailing"
"9","219004002-2",2021-11-15 06:35:35,607571.674541659,6068440.13364972,"01-sailing"
"10","219004002-2",2021-11-15 06:35:39,607570.745388151,6068454.80598852,"01-sailing"
"11","219004002-2",2021-11-15 06:35:42,607569.179210248,6068463.78573454,"01-sailing"
"12","219004002-2",2021-11-15 06:35:45,607567.169792882,6068469.74922973,"01-sailing"
"13","219004002-2",2021-11-15 06:35:49,607559.139861709,6068482.47122068,"01-sailing"
"14","219004002-2",2021-11-15 06:35:52,607552.985352652,6068489.44917414,"01-sailing"
"15","219004002-2",2021-11-15 06:35:56,607546.388342991,6068496.08262745,"01-sailing"
"16","219004002-2",2021-11-15 06:35:59,607539.780750216,6068503.16112487,"01-sailing"
"17","219004002-2",2021-11-15 06:36:01,607533.926859173,6068511.03683864,"01-sailing"
"18","219004002-2",2021-11-15 06:36:06,607527.599412435,6068522.57489817,"01-sailing"
"19","219004002-2",2021-11-15 06:36:09,607523.453933662,6068531.71586015,"01-sailing"
"20","219004002-2",2021-11-15 06:36:13,607518.067975214,6068544.27825402,"01-sailing"
"21","219004002-2",2021-11-15 06:36:16,607512.872451479,6068556.95651105,"01-sailing"
"22","219004002-2",2021-11-15 06:36:20,607509.169545178,6068566.44199104,"01-sailing"
"23","219004002-2",2021-11-15 06:36:23,607504.033120909,6068579.34430807,"01-sailing"
"24","219004002-2",2021-11-15 06:36:25,607501.434067981,6068585.7390731,"01-sailing"
"25","219004002-2",2021-11-15 06:36:29,607495.847223595,6068598.63067126,"01-sailing"
"26","219004002-2",2021-11-15 06:36:33,607490.008302356,6068611.29362913,"01-sailing"
"27","219004002-2",2021-11-15 06:36:35,607488.389685498,6068614.37209475,"01-sailing"
"28","219004002-2",2021-11-15 06:36:39,607478.405835698,6068628.04958293,"01-sailing"
"29","219004002-2",2021-11-15 06:36:42,607470.846512371,6068634.54890179,"01-sailing"
"30","219004002-2",2021-11-15 06:36:47,607459.351205906,6068641.39981523,"01-sailing"
"31","219004002-2",2021-11-15 06:36:50,607449.940859973,6068644.51544844,"01-sailing"
"32","219004002-2",2021-11-15 06:36:52,607439.988444817,6068646.05969379,"01-sailing"
"33","219004002-2",2021-11-15 06:36:56,607430.008758083,6068646.04480747,"01-sailing"
"34","219004002-2",2021-11-15 06:37:00,607417.006420142,6068643.17496802,"01-sailing"
"35","219004002-2",2021-11-15 06:37:02,607410.95132554,6068640.58179928,"01-sailing"
"36","219004002-2",2021-11-15 06:37:05,607399.861973676,6068633.0820202,"01-sailing"
"37","219004002-2",2021-11-15 06:37:09,607388.31683303,6068625.79406952,"01-sailing"
"38","219004002-2",2021-11-15 06:37:13,607379.231068323,6068620.67976661,"01-sailing"
"39","219004002-2",2021-11-15 06:37:15,607373.063099684,6068617.41603536,"01-sailing"
"40","219004002-2",2021-11-15 06:37:19,607360.673369736,6068610.44203302,"01-sailing"
"41","219004002-2",2021-11-15 06:37:23,607345.363121027,6068601.72878711,"01-sailing"
"42","219004002-2",2021-11-15 06:37:26,607336.220846088,6068596.27926552,"01-sailing"
"43","219004002-2",2021-11-15 06:37:30,607327.0115523,6068590.93949141,"01-sailing"
"44","219004002-2",2021-11-15 06:37:33,607314.884378057,6068583.74921956,"01-sailing"
"45","219004002-2",2021-11-15 06:37:36,607308.922594264,6068579.93387332,"01-sailing"
"46","219004002-2",2021-11-15 06:37:42,607287.596552908,6068566.95892347,"01-sailing"
